Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1986 ,172219 ,  ,7 ,Butte ,  ,  ,  ,  ,  , 
1986 ,172299 ,  ,19 ,Fresno ,  ,  ,  ,  ,  , 
1986 ,172299 ,  ,21 ,Glenn ,4687 ,0.21 ,989 ,2499 ,TON ,2472000
1986 ,172299 ,  ,61 ,Placer ,  ,  ,  ,  ,  , 
1986 ,172299 ,  ,67 ,Sacramento ,  ,  ,  ,  ,  , 
1986 ,172299 ,  ,77 ,San Joaquin ,167 ,0.18 ,30 ,3007 ,TON ,90200
1986 ,172299 ,  ,93 ,Siskiyou ,  ,  ,  ,  ,  , 
1986 ,172299 ,  ,101 ,Sutter ,  ,  ,  ,  ,  , 
1986 ,172299 ,  , 999, State Totals,4854 ,0.21 ,1019 ,2514 ,    ,2562200
1986 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,15555 ,45 ,  ,700000
1986 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,5030 ,40 ,TON ,201000
1986 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,20400 ,50 ,TON ,1020000
1986 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,86300 ,61 ,TON ,5307000
1986 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,781 ,56 ,TON ,44000
1986 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,16260 ,47 ,  ,764000
1986 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,47600 ,40 ,TON ,1914000
1986 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,14900 ,45 ,TON ,672000
1986 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,459 ,12 ,TON ,5500
1986 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,30000 ,40 ,  ,1200000
1986 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,755 ,40 ,TON ,30200
1986 ,268099 ,ALMOND HULLS ,103 ,Tehama ,  ,  ,  ,  ,  , 
1986 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,10700 ,56 ,TON ,599000
1986 ,268099 ,ALMOND HULLS ,113 ,Yolo ,  ,  ,  ,  ,  , 
1986 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,2338 ,40 ,TON ,93500
1986 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,251078 ,50 ,    ,12550200
1986 ,261999 ,ALMONDS ALL ,7 ,Butte ,38543 ,0.33 ,12719 ,4000 ,  ,50876000
1986 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,  ,  ,  ,  ,  ,15600
1986 ,261999 ,ALMONDS ALL ,11 ,Colusa ,16100 ,0.25 ,4025 ,4000 ,TON ,16100000
1986 ,261999 ,ALMONDS ALL ,13 ,Contra Costa ,2056 ,0.00 ,10 ,1980 ,TON ,19800
1986 ,261999 ,ALMONDS ALL ,19 ,Fresno ,30685 ,0.40 ,12300 ,4000 ,TON ,49200000
